質問,回答
入院期間はどれくらいですか？,手術前日に入院し、術後3日でほとんどの患者様が退院されております。そのため入院期間は4泊5日程度です。
私の場合、腎癌で間違いないのでしょうか？,腎腫瘍の場合、確定診断は病理組織検査で行われます。そのため画像検査で悪性を疑われた場合は手術が推奨されております。確定診断は病理組織検査で行われるため、術後に確定診断となります。そのため術後の病理検査の結果、良性腫瘍の診断となることもあります。特に小径腎腫瘍の場合は画像での診断が特に難しく、術前画像検査で悪性を疑っても7~8%程度の割合で良性腫瘍と診断されるケースもあります。
術後に抗がん剤や追加の治療など必要になることはありますか？,術後の病理結果でステージⅠの方は後治療の必要はありません。ステージⅢとなってしまった場合は術後補助化学療法の適当があります。詳しくは担当医にお問い合わせ下さい。
退院後いつから職場復帰は可能ですか？,大体2週間前後で職場復帰される方が多いですが、お仕事の内容や、手術、術後の経過によって異なります。術後に担当医にお尋ね下さい。
退院後、日常生活で中止なければいけないことはありますか？,手術後、次回外来までは飲酒、長風呂やサウナなど、激しい運動など血の巡りが良くなる行為は控えて頂いております。
手術後はどれくらいの頻度で通院が必要ですか？,退院後、2~4週間後に外来に受診して頂き、術後の経過確認と病理結果の説明を致します。その後は3ヶ月後に画像検査と採血を確認致します。そこで問題がなければ6ヶ月毎画像、採血フォローをさせて頂いております。
手術当日に家族の立ち会いは必要ですか？,現在は病院規則のため手術当日のご家族の立ち会いができません。ご希望の方は手術終了後に担当医からご家族の方に電話連絡を差し上げますのでお伝え下さい。
入院中に面会はできますか？,手術後、退院までの間にご家族の方の面会は可能です。面会時間が決まっておりますので、詳しくは入退院窓口で聞いて下さい。
入院までの期間の注意事項などはありませんか？,特に制限事項はありませんが、COVID-19やインフルエンザなどの感染症にならないように注意して下さい。また喫煙者は禁煙の徹底をお願い致します。
がん保険や医療保険に入っているのですが、保険金はおりますか？,保険の内容や種類によります。そのため保険会社に問い合わせをして頂く必要があります。術後初回の外来で病理結果の説明を行いますので、必要な保険書類をご持参し担当医に伺って下さい。その後当院の書類センターにご提出下さい。
腎癌であった場合の予後はどれくらいですか？,腎がんの予後（5年生存率）はステージⅠで閲論され、95%以上、ステージⅡでは75-95%，ステージⅣでは59-70%，ステージⅤは約14－20%とされます。
手術の傷はどこにできますか？,腫瘍の位置により手術の傷の位置が変わります。下記に示します。<左側・胸側の場合> <右側・背側の場合>；リスク第1）
ロボットを利用した手術は信用できるのですか？,ロボットが自動で操縦するのではなく、ロボットを医師が操作して手術します。ロボットを利用することで従来の開腹手術よりも小さな傷口で手術ができるため、手術時間の短縮、出血量の減少、入院日数の減少などのメリットがあります。
手術後に透析になる可能性はありますか？,手術前の腎臓機能によります。術前に慢性腎臓病の併存症がなければ透析になる可能性は極めて低いです。慢性腎臓病を患っておられる患者様もステージにより異なります。詳しくは担当医にお尋ね下さい。
執刀はどなたがされるのですか？,基本的には外来主治医が行います。
手術のリスクはどのくらいですか？,手術にはリスクが伴いますが、ロボット支援腎部分切除術は比較的安全な手術とされています。合併症の可能性は1%以下ですが、万が一のためにしっかりと準備をしています。
手術後の痛みはどの程度ですか？,手術後の痛みは個人差がありますが、通常は軽度から中程度の痛みが予想されます。痛み止めを用意していますので、必要に応じてお知らせください。
手術の成功率はどのくらいですか？,手術の成功率は高く、特に小径腎癌に対しては標準的な治療法とされています。多くの患者さんが良好な結果を得ています。
手術後の生活にどのような影響がありますか？,手術後は通常の生活に戻ることができますが、最初の数日は無理をせず、体を休めることが大切です。
手術の前に何か特別な準備が必要ですか？,手術前には特別な準備は必要ありませんが、健康状態を確認するための検査を行います。
手術後にどのくらいの期間入院が必要ですか？,手術後の入院期間は通常3〜4日です。経過が良ければ早めに退院できることもあります。
手術後の経過観察はどのように行いますか？,手術後は定期的に外来で経過観察を行います。最初は2〜4週間後に受診していただき、その後は3ヶ月ごとに検査を行います。
手術中に何か問題が起こった場合はどうなりますか？,手術中に問題が起こった場合は、すぐに適切な対処を行います。医師がしっかりと対応しますのでご安心ください。
手術後に再発の可能性はありますか？,手術後の再発の可能性はありますが、早期発見と適切な治療により、予後は良好です。定期的な検査が重要です。
手術の際に使用するロボットはどのようなものですか？,使用するロボットは、精密な動きが可能な医療用のロボットです。医師が操作し、手術を行いますので安心してください。
手術後の食事制限はありますか？,手術後は特に食事制限はありませんが、最初は消化の良いものから始めていただきます。
手術の前に他の治療法を試すことはできますか？,他の治療法を試すことも可能ですが、腎癌の進行度によっては手術が最も効果的な選択肢となります。
手術後に運動はいつから再開できますか？,運動は術後1〜2週間から徐々に再開できますが、激しい運動は避けてください。
手術の際に麻酔はどのように行われますか？,麻酔は全身麻酔を行います。手術中は意識がなく、痛みを感じることはありません。
手術後の傷はどのようにケアすれば良いですか？,手術後の傷は清潔に保ち、医師の指示に従ってケアしてください。特に感染に注意が必要です。
手術の結果が悪かった場合、どのような選択肢がありますか？,手術の結果が悪かった場合は、追加の治療法を検討します。医師がしっかりとサポートしますのでご安心ください。
手術の説明を家族にもしてもらえますか？,手術の説明を家族にも行うことができます。必要であれば、家族の方にもお話ししますのでお知らせください。
手術後に必要な薬はありますか？,手術後に必要な薬は、痛み止めや抗生物質などがあります。退院時に詳しく説明します。
手術の前に不安を和らげる方法はありますか？,手術前に不安を和らげる方法として、リラックスするための呼吸法や、医師に相談することが有効です。
手術の後、どのようなサポートが受けられますか?,手術後は、医療スタッフがしっかりとサポートしますので、何か不安なことがあればいつでもお知らせください。

