text,len,system
コンニチハ、コンニチハシュジュツニツイテオハナシシマスネ,28,1
アナタニヨテイシテイルシュジュツハ「ロボットシエンジンブブンセツジョジュツ」トイッテ、ジンゾウニデキタシュヨウヲトリノゾクタメノシュジュツデス,71,1
マズ、アナタノジョウタイニツイテデスガ、ジンゾウニcmノオオキサノシュヨウガミツカッテイテ、アクセイノカノウセイガアルトカンガエラレテイマス,70,1
コノヨウナチサイシュヨウノバアイ、ガイドラインデハジンブブンセツジョジュツガヒョウジュンテキナチリョウホウトサレテイマス,60,1
コノシュジュツガテイアンサレタリユウハ、シュヨウガ7cmイカデアレバ、ジンキノウヲデキルダケオンゾンシナガラチリョウスルコトガジュウヨウダカラデス,73,1
シュジュツジタイハホケンテキヨウノチリョウホウデ、ロボットヲツカウコトデセイミツナソウサガカノウニナリマス,53,1
シュジュツノナガレトシテハ、マズオハラニカズカトコロチイサナキリコミヲイレテ、ソコカラトロカートイウキグヲツカッテナイシキョウヤシュジュツキグヲソウニュウシマス,80,1
オハラノナカニニサンカタンソヲチュウニュウシテ、ジンゾウヤニョウカンヲミヤスクシ、ロボットノウデヲツカッテシュヨウヲトリノゾキマス,65,1
シュジュツジカンハヤク3〜4ジカンデ、ソノノチハイッパンビョウトウニモドリマス,39,1
ヨクジツカラハスイブンヤショクジヲハジメテ、デキルダケハヤクアルクコトガススメラレマス,43,1
ツウジョウ、ジュツゴ1〜2ニチデニョウドウカテーテルヤドレーンヲヌクコトガデキ、ホトンドノカタハ3〜4ニチデタイインサレマス,62,1
タダシ、シュジュツニハリスクモアリマス,19,1
タトエバ、シュッケツヤホカノゾウキニソンショウガオコルカノウセイガアリマス,37,1
マタ、シュヨウヲトルサイニニョウノトオリミチガエイキョウヲウケルコトモアリ、イチジテキニニョウモレガオコルコトガアリマスガ、ホトンドハシゼンニナオリマス,76,1
サラニ、カンセンショウヤチョウヘイソクナドノガッペイショウモカンガエラレマスガ、コレラハヒカクテキスクナイカクリツデオコリマス,63,1
シュジュツヲウケルカドウカハアナタノジユウナイシデキメテイタダケマスシ、モシフアンガアレバホカノイシノイケンヲキクコトモデキマス,64,1
モシナニカシツモンガアレバ、エンリョナクキイテクダサイネ,28,1
