text,system
今日は、ロボット支援腎部分切除術という手術についてお話しします。,1
この手術は、あなたの腎臓にある腫瘍を取り除くために行います。,1
まず、今の病状についてですが、あなたの腎臓には悪性の腫瘍が疑われる状態です。,1
この腫瘍は、画像検査で確認されており、腎癌の可能性があります。,1
治療としては、腎部分切除術が標準的な方法とされており、特に小さな腫瘍（7cm以下）に対して効果的です。,1
この手術の目的は、腫瘍を切除することで腎機能をできるだけ温存することです。,1
手術の方法としては、腹部に数カ所小さな切開を行い、そこから器具を使って腫瘍を取り除きます。,1
手術中は、ロボットを使って精密に操作を行いますので、非常に高い精度で腫瘍を摘出できます。,1
手術時間は約3〜4時間ほどかかりますが、その間はご家族の方が病棟でお待ちいただけます。,1
手術後は一般病棟に戻り、翌日からは水分や食事が始まります。,1
できるだけ早く歩行も開始していただき、ほとんどの方が術後3〜4日で退院されますので、比較的スムーズな回復が期待できます。,1
ただし、手術にはいくつかのリスクが伴います。,1
例えば、出血や他の臓器への損傷、尿漏れなどが考えられますが、これらは非常に稀なケースであり、万が一の場合でも適切な処置が行われます。,1
手術を受けるかどうかはあなた自身の意思ですので、いつでも同意を撤回することができます。,1
また、他の治療法もありますので、必要に応じて専門医の意見を聞くことも可能です。,1
手術に関して何か不安な点や質問があれば、遠慮なくお聞きくださいね。,1
