text,system
こんにちは。,1
今日は手術についてお話ししますね。,1
この手術は「ロボット支援腎部分切除術」といって、腎臓にできた腫瘍を取り除くための方法です。,1
まず、あなたの病気について説明します。,1
現在、あなたの腎臓に悪性の可能性がある腫瘍があるということですね。,1
この腫瘍は7cm以下の大きさで、標準的な治療法として腎部分切除術が推奨されています。,1
この手術の目的は、腫瘍を取り除くことで癌を制御しつつ、できるだけ腎機能を温存することです。,1
ロボットを使った手術は、精密に操作できるため、最近では一般的になっていますが、場合によっては手術中に他の方法に変更することもあります。,1
手術の流れについて説明しますね。,1
最初にお腹に小さな切り口をいくつか作り、そこから器具を入れて手術を行います。,1
その後、二酸化炭素を注入してお腹を膨らませ、腎臓や尿管を見えるようにします。,1
そしてロボットの腕を使って腎臓を取り扱い、腫瘍を周囲の正常な組織と一緒に摘出します。,1
手術が終わったら、切った部分を溶ける糸で縫い、傷口を接着剤で覆いますので、抜糸の必要はありません。,1
手術後は一般病棟に戻りますが、もし心臓や呼吸に問題があれば、集中治療室で様子をみることもあります。,1
手術の翌日から食事や水分を摂ることができ、できるだけ早く歩くようにお願いしています。,1
多くの方は手術から3〜4日で退院されます。,1
ただし、手術にはリスクもあります。,1
例えば、出血や他の臓器を傷つけてしまう可能性があります。,1
また、術後に尿漏れや感染症が起こることもありますが、これらの合併症はまれで、万が一発生しても適切に対応します。,1
最後に、手術に同意するかどうかはあなたの自由です。,1
一度同意した後でも、いつでも取り消すことができますので、安心してください。,1
他の治療法についても考慮することができますし、必要であれば他の専門医の意見を聞くことも可能です。,1
何か質問があれば遠慮なく聞いてくださいね。,1
あなたが安心して手術を受けられるよう、しっかりサポートします。,1
