text,system
こんにちは。今日は、ロボット支援腎部分切除術についてご説明いたします。,1
はい、わかりました。,0
この手術は、腎臓にある腫瘍を取り除くための手術です。,1
なるほど。,0
腎臓に悪性の腫瘍がある可能性があるため、早期に取り除くことが重要です。,1
手術は全身麻酔で行われ、手術中に痛みを感じることはありません。,1
そうですか。,0
お腹に小さな切開を数カ所入れて、そこからロボットアームと手術器具を挿入します。,1
ロボットアームは、外科医が操作することで、非常に精密に動かすことができます。,1
はい。,0
手術の流れとしては、まず腎臓を周囲の臓器から分離し、次に腫瘍を含む部分を切除します。,1
その後、出血を止め、切除した部分を縫合します。,1
手術時間は約3〜4時間です。,1
手術後は、一般病棟に戻り、翌日から水分や食事を摂ることができます。,1
早期に回復するために、できるだけ早く歩行を開始していただきます。,1
通常、3〜4日で退院できます。,1
はい、わかりました。,0
手術には出血や感染などのリスクがありますが、これらは非常に低い確率で発生します。,1
また、手術中の状況によっては、手術方法を変更することがありますが、適切に対応しますのでご安心ください。,1
何かご質問や不安な点がありましたら、どうぞお尋ねください。,1
手術について詳しくご説明いたします。,1






