text,len,system
キョウハロボットシエンジンブブンセツジョジュツトイウシュジュツニツイテオハナシシマス,42,1
コノシュジュツハアナタノジンゾウニアルシュヨウヲトリノゾクタメニオコナイマス,40,1
マズイマノビョウジョウニツイテデスガアナタノジンゾウニハアクセイノシュヨウガウタガワレルジョウタイデス,54,1
コノシュヨウハガゾウケンサデカクニンサレテオリジンガンノカノウセイガアリマス,40,1
チリョウトシテハジンブンセツジョジュツガヒョウジュンテキナホウホウトサレテオリトクニチイサナシュヨウナナセンチイカニタイシテコウカテキデス,78,1
コノシュジュツノモクテキハシュヨウヲセツジョスルコトデジンキノウヲデキルダケオンゾンスルコトデス,45,1
シュジュツノホウホウトシテハフクブニスウカショウサナセッカイヲオコナイソコカラキグヲツカッテシュヨウヲトリノゾキマス,66,1
シュジュツチュウハロボットヲツカッテセイミツニソウサヲオコナイマスノデヒジョウニタカイセイドデシュヨウヲテキシュツデキマス,66,1
シュジュツジカンハヤクサンジカンハジカカリマスガソノアイダハゴカゾクノカタガビョウトウデオマチイタダケマス,66,1
シュジュツゴハイッパンビョウトウニモドリヨクジツカラハスイブンヤショクジガハジマリマス,54,1
デキルダケハヤクホコウモカイシシテイタダキホトンドノカタガシュゴサンニチヨンニチデタイインサレマスノデヒカクテキスムーズナカイフクガキタイデキマス,108,1
タダシシュジュツニハイクツカノリスクガトモナイマス,30,1
タトエバシュッケツヤホカノゾウキヘノソンショウニュウモレナドガカンガエラレマスガコレラハヒジョウニマレナケースデアリマンガイチノバアイデモテキセツナショチガオコナレマス,108,1
シュジュツヲウケルカドウカハアナタジシンノイシデスノデイツデモドウイヲテッカイスルコトガデキマス,54,1
マタホカノチリョウホウモアリマスノデヒツヨウニオウジテセンモンイノイケンヲキクコトモカノウデス,54,1
シュジュツニカンシテナニカフアンナテンヤシツモンガアレバエンリョナクオキキクダサイネ,54,1
