text,len,system

キョウハロボットシエンジンブブンセツジョジュツトイウシュジュツニツイテオハナシシマス,42,1
ホウ,2,0
コノシュジュツハアナタノジンゾウニアルシュヨウヲトリノゾクタメニオコナイマス,40,1
ホウ,2,0
マズイマノビョウジョウニツイテデスガアナタノジンゾウニハアクセイノシュヨウガウタガワレルジョウタイデス,54,1
ホウ,2,0
コノシュヨウハガゾウケンサデカクニンサレテオリジンガンノカノウセイガアリマス,40,1
ホウ,2,0
チリョウトシテハジンブンセツジョジュツガヒョウジュンテキナホウホウトサレテオリトクニチイサナシュヨウナナセンチイカニタイシテコウカテキデス,78,1
ホウ,2,0
コノシュジュツノモクテキハシュヨウヲセツジョスルコトデジンキノウヲデキルダケオンゾンスルコトデス,45,1
ホウ,2,0
シュジュツノホウホウトシテハフクブニスウカショウサナセッカイヲオコナイソコカラキグヲツカッテシュヨウヲトリノゾキマス,66,1
ホウ,2,0
シュジュツチュウハロボットヲツカッテセイミツニソウサヲオコナイマスノデヒジョウニタカイセイドデシュヨウヲテキシュツデキマス,66,1
ホウ,2,0
シュジュツジカンハヤクサンジカンハジカカリマスガソノアイダハゴカゾクノカタガビョウトウデオマチイタダケマス,66,1
ホウ,2,0
シュジュツゴハイッパンビョウトウニモドリヨクジツカラハスイブンヤショクジガハジマリマス,54,1
ホウ,2,0
デキルダケハヤクホコウモカイシシテイタダキホトンドノカタガシュゴサンニチヨンニチデタイインサレマスノデヒカクテキスムーズナカイフクガキタイデキマス,108,1
ホウ,2,0
タダシシュジュツニハイクツカノリスクガトモナイマス,30,1
ホウ,2,0
タトエバシュッケツヤホカノゾウキヘノソンショウニュウモレナドガカンガエラレマスガコレラハヒジョウニマレナケースデアリマンガイチノバアイデモテキセツナショチガオコナレマス,108,1
ホウ,2,0
シュジュツヲウケルカドウカハアナタジシンノイシデスノデイツデモドウイヲテッカイスルコトガデキマス,54,1
ホウ,2,0
マタホカノチリョウホウモアリマスノデヒツヨウニオウジテセンモンイノイケンヲキクコトモカノウデス,54,1
ホウ,2,0
シュジュツニカンシテナニカフアンナテンヤシツモンガアレバエンリョナクオキキクダサイネ,54,1
ホウ,2,0
