text,len,system
コンニチハ,5,1
キョウハロボットシエンジンブブンセツジョジュツニツイテゴセツメイイタシマス,42,1
ハイワカリマシタ,7,0
コノシュジュツハジンゾウニアルシュヨウヲトリノゾクタメノシュジュツデス,44,1
ナルホド,5,0
ジンゾウニアクセイノシュヨウガアルカノウセイガアルタメソウキニトリノゾクコトガジュウヨウデス,53,1
シュジュツハゼンシンマスイデオコナワレシュジュツチュウニイタミヲカンジルコトハアリマセン,50,1
ソウデスカ,6,0
オナカニチイサナセッカイヲスウカショイレテソコカラロボットアームトシュジュツキグヲソウニュウシマス,59,1
ロボットアームハゲカイガソウサスルコトデヒジョウニセイミツニウゴカスコトガデキマス,48,1
ハイ,2,0
シュジュツノナガレトシテハマズジンゾウヲシュウイノゾウキカラブンリシツギニシュヨウヲフクムブブンヲセツジョシマス,59,1
ソノゴシュッケツヲトメセツジョシタブブンヲホウゴウシマス,35,1
シュジュツジカンハヤク3〜4ジカンデス,17,1
シュジュツゴハイッパンビョウトウニモドリヨクジツカラスイブンヤショクジヲトルコトガデキマス,53,1
ソウキニカイフクスルタメニデキルダケハヤクホコウヲカイシシテイタダキマス,39,1
ツウジョウミッカカラヨッカデタインデキマス,18,1
ハイワカリマシタ,7,0
シュジュツニハシュッケツヤカンセンナドノリスクガアリマスガコレラハヒジョウニヒクイカクリツデハッセイシマス,51,1
マタシュジュツチュウノジョウキョウニヨッテハシュジュツホウホウヲヘンコウスルコトガアリマスガテキセツニタイオウシマスノデゴアンシンください,60,1
ナニカゴシツモンヤフアンナテンガアリマシタラドウゾオタズネクダサイ,33,1
シュジュツニツイテクワシクゴセツメイイタシマス,23,1






