text,len,system
こんにちは,5,1
こんにちは「ろぼっとしえんじんぶぶんせつじょじゅつ」についておはなしします,37,1
このしゅじゅつは、じんぞうにできたしゅようをとりのぞくためのほうほうで、とくにしゅようが7cmいかのちいさなもののばあいにおこなわれます,68,1
まず、あなたのしんだんめいは「じんがんうたがい」とされています,31,1
これは、じんぞうにあくせいのしゅようがあるかのうせいがたかいということです,37,1
げんざい、みぎまたはひだりのじんぞうにかずせんちのしゅようがみつかっています,38,1
このしゅじゅつをていあんするりゆうは、しゅようをこうかてきにとりのぞくためのひょうじゅんてきなちりょうほうだからです,58,1
ろぼっとしえんでおこなうことで、よりせいみつにしゅじゅつができます,33,1
しゅじゅつのぐたいてきなながれですが、まずおはらにちいさなせっかいをいくつかいれて、そこからきぐをつかってしゅじゅつをすすめます,64,1
おはらをふくらませてじんぞうをみやすくし、ろぼっとのうでをつかってしゅようをとりのぞきます,45,1
しゅようをせつじょするさいには、しゅういのせいじょうなそしきもいっしょにとりのぞくことで、さいはつのりすくをへらします,59,1
しゅじゅつじたいはやく3〜4じかんかかりますが、そののちはびょうとうにもどり、けいかかんさつをおこないます,53,1
しゅじゅつごは、つうじょうよくじつからしょくじをはじめたり、ほこうをかいししたりします,43,1
かてーてるやどれーんとよばれるかんもいりますが、これらはすうじついないにぬけるよていです,44,1
ほとんどのかたは、しゅじゅつご3〜4にちでたいいんされますので、ひかくてきはやくにちじょうせいかつにもどれることがきたいされます,64,1
ただし、しゅじゅつにはりすくもともないます,21,1
しゅっけつやほかのぞうきへのそんしょう、にょうもれなどのがっぺいしょうがおこるかのうせいがありますが、これらはひじょうにまれです,64,1
また、しゅじゅつをとちゅうでへんこうすることもありえますが、これもひつようなばあいにかぎられます,48,1
このしゅじゅつをうけるかどうかは、あくまであなたのいしです,29,1
もしふあんがあれば、ほかのいしのいけんをきくこともできますし、いつでもどういをてっかいすることもかのうですので、あんしんしてください,66,1
なにかしつもんやふめいてんがあれば、えんりょなくきいてくださいね,32,1
